PLAYER,POS,LANE AGILITY TIME ,SHUTTLE RUN ,THREE QUARTER SPRINT ,STANDING VERTICAL LEAP ,MAX VERTICAL LEAP ,MAX BENCH PRESS 
Kyle Anderson,SF,-,-,-,-,-,-
Thanasis Antetokounmpo,SF,11.39,3.05,3.18,31.5,39.5,-
Jordan Bachynski,PF,12.15,3.03,3.36,29,33,-
Cameron Bairstow,PF,11.39,3.09,3.37,31,33.5,-
Khem Birch,PF,11.6,3.24,3.26,30.5,35.5,-
Alec Brown,PF,12.05,2.91,3.48,27,30,-
Markel Brown,SG,12.62,2.9,3.18,36.5,43.5,-
Jabari Brown,SG,11.6,3.26,3.5,28,32,-
Deonte Burton,PG,11.28,3.08,3.28,29,39.5,-
Semaj Christon,PG,11.55,3.21,3.32,30.5,36.5,-
Jordan Clarkson,PG,10.76,2.98,3.28,33,38.5,-
Aaron Craft,PG,10.78,2.9,3.26,29,32,-
DeAndre Daniels,SF,11.46,3.04,3.44,26.5,32,-
Spencer Dinwiddie,PG,-,-,-,-,-,-
Cleanthony Early,SF,11.15,2.96,3.18,34,40,-
Melvin Ejim,SF,11.55,3.12,3.14,29.5,35,-
Tyler Ennis,PG,11.12,2.84,3.3,29,36,-
Dante Exum,SG,10.75,2.88,3.19,31.5,34.5,-
C.J. Fair,SF,11,3.06,3.32,27,35,-
Aaron Gordon,PF,10.81,2.76,3.27,32.5,39,-
Jerami Grant,SF,-,-,-,-,-,-
P.J. Hairston,SG,11.12,-,3.32,32,37,-
Gary Harris,SG,-,-,-,-,-,-
Joe Harris,SG,11.11,2.92,3.31,28.5,33.5,-
Rodney Hood,SF,11.21,3.14,3.38,29,36,-
Cory Jefferson,PF,12.63,3.39,3.36,33,37.5,-
Nick Johnson,SG,10.8,2.95,3.27,33.5,41.5,-
Sean Kilpatrick,SG,-,-,-,-,-,-
Alex Kirk,PF,11.2,3.19,3.48,28.5,31.5,-
Zach LaVine,PG,10.42,2.8,3.19,33.5,41.5,-
Devyn Marble,SG,11.32,3.08,3.28,29,35,-
James McAdoo,PF,11.61,2.91,3.28,29.5,34,-
K.J. McDaniels,SF,12.71,3.2,3.1,33,37,-
Doug McDermott,SF,11.1,3.15,3.29,28.5,36.5,-
Jordan McRae,SG,11.07,3.15,3.39,27.5,34.5,-
Shabazz Napier,PG,11.6,3.13,3.2,30.5,37.5,-
Johnny O?Bryant III,PF,11.57,3.32,3.45,31,35.5,-
Lamar Patterson,SG,11.63,3.13,3.45,27.5,32.5,-
Adreian Payne,PF,-,-,-,-,-,-
Elfrid Payton,PG,11.06,2.92,3.23,31.5,35.5,-
Dwight Powell,PF,11.28,2.88,3.2,28.5,35,-
Julius Randle,PF,11.45,3.14,3.27,29,35.5,-
Glenn Robinson III,SF,11.22,3.04,3.15,36.5,41.5,-
LaQuinton Ross,SF,11.97,3.52,3.44,25,31,-
Marcus Smart,PG,10.82,2.96,3.26,33,36,-
Russ Smith,PG,11.57,3.01,3.27,29.5,34,-
Nik Stauskas,SG,10.79,2.92,3.27,29,35.5,-
Jarnell Stokes,PF,11.92,3.2,3.26,31,36,-
Xavier Thames,PG,11.48,3.02,3.48,29,32.5,-
Noah Vonleh,PF,11.45,3.29,3.28,31,37,-
T.J. Warren,SF,11.1,3.04,3.26,27,35.5,-
C.J. Wilcox,SG,11.3,2.92,3.22,31,37.5,-
Kendall Williams,PG,10.83,2.85,-,27,33,-
Patric Young,PF,11.18,3.06,3.43,32,37.5,-
James Young,SG,-,-,-,28,35.5,-
Steven Adams,C,11.85,3.02,3.4,28.5,33,16
Vander Blue,SG,10.4,2.7,3.14,28,37.5,4
Lorenzo Brown,PG,11.78,3.24,3.4,28,34,8
Reggie Bullock,SG-SF,11.33,3.3,3.31,31,36.5,11
Trey Burke,PG,11.2,3.01,3.16,29.5,36.5,3
Kentavious Caldwell-Pope,SG,10.6,3.2,3.12,29,34.5,7
Isaiah Canaan,PG,10.98,2.89,3.22,33,40.5,16
Jackie Carmichael,PF,11.83,3.07,3.35,30,32,13
Michael Carter-Williams,PG,10.68,3.7,3.22,31.5,41,8
Will Clyburn,SF-SG,11.68,3.12,3.38,28,34.5,3
Robert Covington,SF-PF,11.69,3.1,3.34,29.5,36,9
Allen Crabbe,SG,10.67,3.1,3.32,30.5,36,10
Seth Curry,SG,-,-,-,-,-,-
Brandon Davies,PF,11.22,3.14,3.5,26,31.5,7
Dewayne Dedmon,C,12.75,3.26,3.4,28,32.5,8
Gorgui Dieng,C,-,-,-,-,-,-
James Ennis,SF,11.55,3.06,3.4,29.5,36.5,7
Carrick Felix,SF-SG,11.16,3.09,3.25,32,38.5,15
Jamaal Franklin,SG-SF,-,-,-,-,-,-
Rudy Gobert,C,12.85,3.19,3.57,25,29,7
Archie Goodwin,SG,10.75,3.41,3.27,30,36,1
Erick Green,PG,-,-,-,-,-,5
Tim Hardaway Jr.,SG,10.68,2.93,3.25,31.5,37.5,16
Solomon Hill,SF,10.77,2.91,3.19,29.5,37.5,14
Richard Howell,PF,-,-,-,-,-,-
Colton Iverson,C,11.52,3.04,3.52,26.5,30,12
Pierre Jackson,PG,-,-,-,-,-,-
Grant Jerrett,PF,11.85,3.23,3.51,28.5,34,2
Myck Kabongo,PG,10.64,2.86,3.44,27.5,33.5,2
Kenny Kadji,PF-C,11.47,2.88,3.44,34,38,9
Ryan Kelly,PF,-,-,-,-,-,-
Shane Larkin,PG,10.64,3.03,3.08,34.5,44,12
Ricky Ledo,SG,10.72,3.16,3.32,27,33.5,4
Alex Len,C,-,-,-,-,-,-
CJ Leslie,PF-SF,10.19,2.79,3.1,32.5,40.5,-
Trevor Mbakwe,PF,12.01,2.97,3.32,30,36.5,21
Ray McCallum,PG,10.82,3.08,3.25,30.5,40,5
CJ McCollum,PG-SG,11.02,2.91,3.32,32,38.5,13
Ben McLemore,SG,11.87,3.11,3.27,32.5,42,6
Tony Mitchell,PF-SF,11.82,3.25,3.52,33.5,38,13
Shabazz Muhammad,SF-SG,10.99,2.93,3.32,29.5,37,10
Erik Murphy,PF,12.19,2.96,3.57,24.5,29.5,13
Mike Muscala,C-PF,11.76,2.99,3.44,28,33.5,5
Nerlens Noel,C,-,-,-,-,-,-
Victor Oladipo,SG,10.69,3.14,3.25,33,42,15
Kelly Olynyk,PF-C,11.42,2.99,3.59,24.5,29.5,5
Brandon Paul,SG,11.16,2.9,3.37,33.5,39.5,15
Norvel Pelle,PF-C,11.49,3.2,3.32,31,34.5,0
Mason Plumlee,C-PF,10.89,2.76,3.29,30.5,36,14
Otto Porter,SF,11.25,3.06,3.4,27,36,9
Phil Pressey,PG,10.86,3.02,3.13,33,38.5,7
Glen Rice,SF-SG,10.99,3.08,3.25,33,40.5,10
Andre Roberson,PF-SF,11.36,3.02,3.34,30,36.5,10
Dennis Schroder,PG,11.09,2.86,3.21,30,34,1
Peyton Siva,PG,10.59,2.93,3.16,33.5,41.5,15
Tony Snell,SF-SG,11.36,2.84,3.25,30,36.5,7
James Southerland,SF-PF,10.9,3.03,3.38,29,32,5
Adonis Thomas,SF,11.64,3.11,3.32,34.5,40.5,13
Deshaun Thomas,SF,12.94,3.38,3.53,28.5,32,5
Jeff Withey,C,12.49,3.29,3.47,26.5,29,10
Nate Wolters,PG,-,-,-,-,-,8
BJ Young,SG-PG,-,-,-,-,-,-
Cody Zeller,C-PF,10.82,2.69,3.15,35.5,37.5,17
Quincy Acy,PF,10.48,-,3.28,32,37,13
Harrison Barnes,SF-SG,10.93,-,3.16,38,39.5,15
Will Barton,SG-SF,12.5,-,3.6,30,34,0
Bradley Beal,SG,10.95,-,3.28,33,39,8
J'Covan Brown,PG,11.68,-,3.47,26,29.5,3
William Buford,SG-SF,11.4,-,3.43,27.5,32.5,8
Jae Crowder,SF,11.45,-,3.37,31,34.5,20
Jared Cunningham,SG-PG,-,-,-,-,-,4
Anthony Davis,PF-C,-,-,-,-,-,-
Marcus Denmon,SG,10.82,-,3.19,33.5,40,8
Andre Drummond,C,10.83,-,3.39,31.5,33.5,10
Kim English,SG,10.59,-,3.33,29,36.5,-
Festus Ezeli,C-PF,12.35,-,3.29,34,33.5,18
Drew Gordon,PF,11.35,-,3.49,29,34,10
JaMychal Green,PF,10.63,-,3.38,29.5,32.5,19
Draymond Green,PF-SF,11.01,-,3.4,28,33,9
Maurice Harkless,SF,10.87,-,3.25,32.5,37,5
John Henson,PF,-,-,-,25.5,30,5
Tu Holloway,PG,11,-,3.42,28,35,12
Robbie Hummel,SF,11.56,-,3.41,27.5,30,13
Bernard James,PF,11.84,-,3.4,30,32.5,6
John Jenkins,SG,11.36,-,3.37,30.5,36.5,10
Orlando Johnson,SG,10.98,-,3.25,32,39.5,13
Darius Johnson-Odom,SG,10.76,-,3.21,33.5,41.5,17
Terrence Jones,PF-SF,11.57,-,3.4,29.5,34.5,12
Kevin Jones,PF,11.94,-,3.6,27.5,32.5,17
Perry Jones,PF-SF,11.31,-,3.19,33,38.5,11
Kris Joseph,SG,-,-,3.46,28.5,35,6
Michael Kidd-Gilchrist,SF,11.77,-,3.18,32,35.5,6
Doron Lamb,SG-PG,11.12,-,3.41,29,33.5,2
Jeremy Lamb,SG,10.98,-,3.25,31.5,38,5
Meyers Leonard,C,11.34,-,3.41,30,32.5,19
Damian Lillard,PG,11.15,-,3.34,34.5,39.5,13
Scott Machado,PG,11.26,-,3.3,27,32.5,17
Kendall Marshall,PG,12.03,-,3.23,31,37,-
Fab Melo,C,12.14,-,3.44,29.5,31,9
Khris Middleton,SF,11.45,-,3.47,28,31,4
Darius Miller,SF-SG,11.34,-,3.31,33,37,14
Quincy Miller,SF,11.05,-,3.48,30.5,36,8
Tony Mitchell,SG,11.72,-,3.47,31.5,40,14
Arnett Moultrie,PF,11.32,-,3.22,33.5,37.5,10
Kevin Murphy,SG,10.97,-,3.42,31,36.5,11
Andrew Nicholson,PF,11.89,-,3.67,28.5,30.5,10
Kyle O'Quinn,PF,11.65,-,3.53,31.5,31.5,-
Miles Plumlee,PF-C,10.64,-,3.36,34,40.5,15
Austin Rivers,SG-PG,11.54,-,3.32,32.5,37.5,1
Thomas Robinson,PF,11.96,-,3.17,28.5,35.5,15
Terrence Ross,SG-SF,11.78,-,3.28,31,37.5,2
Tomas Satoransky,PG-SG,-,-,-,-,-,-
Mike Scott,PF,11.59,-,3.44,27,32.5,14
Henry Sims,C-PF,12.33,-,3.44,26.5,29.5,7
Jared Sullinger,PF,12.77,-,3.81,29.5,31,9
Tyshawn Taylor,PG,11.48,-,3.2,32,36.5,0
Jordan Taylor,PG,10.57,-,3.19,33,36.5,14
Jeff Taylor,SF-SG,10.87,-,3.29,33.5,40,15
Marquis Teague,PG,10.65,-,3.19,32.5,40.5,8
Hollis Thompson,SF,11.72,-,3.38,28.5,36.5,6
Dion Waiters,SG,-,-,-,-,-,-
Royce White,PF,-,-,-,-,-,-
Tony Wroten,PG,10.75,-,3.24,30,35.5,0
Tyler Zeller,PF-C,11.13,-,3.4,30,34,16
Keith Benson,C-PF,11.88,-,3.35,31.5,36,12
Marshon Brooks,SG,10.74,-,3.09,34,38.5,5
Alec Burks,SG,10.96,-,3.17,29,36,5
Jimmy Butler,SF,11.12,-,3.15,32,39,14
Norris Cole,PG,10.07,-,3.22,29.5,38.5,11
Jon Diebler,SG,10.94,-,3.37,28,35,2
Michael Dunigan,PF-C,11.85,-,3.27,29.5,34.5,10
LaceDarius Dunn,SG,11.45,-,3.27,26.5,31,3
Kenneth Faried,PF,11.35,-,3.26,30.5,35,16
James Fredette,PG,10.42,-,3.21,28,33,14
Andrew Goudelock,PG,10.33,-,3.1,32.5,37,4
Jordan Hamilton,SF,11.47,-,3.3,25,32,7
Justin Harper,PF-SF,11.92,-,3.3,28.5,33,19
Tobias Harris,SF-PF,10.96,-,3.17,31.5,37.5,12
Tyler Honeycutt,SF,11.68,-,3.07,30,37,-
Scotty Hopson,SG,10.47,-,3.18,32.5,36,10
Kyrie Irving,PG,-,-,-,-,-,-
Rick Jackson,PF,11.51,-,3.26,28.5,33,9
Charles Jenkins,PG-SG,11.68,-,3.18,29.5,34,16
JaJuan Johnson,PF,11.21,-,3.14,33.5,38,15
Cory Joseph,PG,10.75,-,3.27,27.5,35,5
Enes Kanter,PF-C,11.3,-,3.26,26,32.5,14
Brandon Knight,PG,10.74,-,3.07,29,37.5,10
Malcolm Lee,SG,11.2,-,3.09,30,35.5,17
Kawhi Leonard,SF,11.45,-,3.15,25.5,32,3
Travis Leslie,SG,11,-,3.13,33,40.5,10
Jon Leuer,PF,10.82,-,3.36,29.5,36.5,14
DeAndre Liggins,SF-SG,-,-,3.33,27,31,6
David Lighty,SG,10.81,-,3.25,28.5,33,15
Shelvin Mack,PG,11.23,-,3.18,32,39,17
Demetri McCamey,PG,11.55,-,3.19,27,33,-
E'Twaun Moore,SG,11.12,-,3.31,32,34.5,-
Marcus Morris,PF-SF,-,-,3.15,29,33,11
Markieff Morris,PF,-,-,3.4,27,31.5,11
Darius Morris,PG-SG,11,-,3.2,24.5,32,12
Chandler Parsons,SF,11.05,-,3.29,25.5,31.5,4
Jereme Richmond,SF,11.74,-,3.02,27,33.5,0
Josh Selby,SG-PG,11.13,-,3.2,29.5,42,5
Iman Shumpert,PG-SG,11.1,-,3.18,36.5,42,18
Kyle Singler,SF,11.22,-,3.21,23,30,10
Chris Singleton,SF,11.33,-,3.09,30.5,37.5,15
Jamie Skeen,PF,12.43,-,3.46,26,30.5,10
Nolan Smith,PG,11.05,-,3.17,28.5,34,9
Gregory Smith,PF-C,12.43,-,3.36,29.5,36,17
Malcolm Thomas,PF,11.31,-,3.29,32,36.5,3
Isaiah Thomas,PG,10.49,-,3.14,31.5,40,13
Trey Thompkins,PF,11.72,-,3.41,27.5,30.5,15
Tristan Thompson,PF,10.92,-,3.26,30,35,9
Klay Thompson,SG,10.99,-,3.24,26.5,31.5,5
Jeremy Tyler,PF-C,11.26,-,3.29,28,33.5,10
Nikola Vucevic,PF-C,12.02,-,3.27,23.5,25,8
Kemba Walker,PG,10.87,-,3.16,32,39.5,7
Jordan Williams,PF,12.74,-,3.45,25,30.5,10
Derrick Williams,PF-SF,11.03,-,3.23,29,34.5,19
Solomon Alabi,C,13.2,-,3.68,22.5,26,10
Cole Aldrich,C,11.48,-,3.35,23,28,10
Al-Farouq Aminu,SF,11.29,-,3.3,27,33.5,13
James Anderson,SF,11.86,-,3.19,30,35.5,14
Luke Babbitt,SF-PF,10.98,-,3.4,29.5,37.5,15
Eric Bledsoe,PG,-,-,-,-,-,9
Trevor Booker,PF,11.15,-,3.1,31,36,22
Craig Brackins,PF-SF,11.65,-,3.39,26,35,6
Avery Bradley,SG-PG,11.47,-,3.14,31.5,37.5,2
Derrick Caracter,PF,12.78,-,3.61,25,30.5,22
Sherron Collins,PG,12.31,-,3.24,27.5,33,-
DeMarcus Cousins,C,11.4,-,3.55,23.5,27.5,-
Jordan Crawford,SG,11.03,-,3.37,31.5,34.5,7
Ed Davis,PF,11.7,-,3.21,31,36,-
Devin Ebanks,SF,11.69,-,3.44,23.5,32,6
Derrick Favors,PF,11.74,-,3.25,31.5,35.5,14
Keith Gallon,PF-C,13.44,-,3.7,23.5,28.5,14
Charles Garcia,SF,11.65,-,3.23,24.5,30.5,2
Paul George,SF,-,-,-,-,-,4
Luke Harangody,PF,11.83,-,3.41,24,28.5,23
Manny Harris,SG,-,-,-,-,-,11
Lazar Hayward,SG-SF,10.87,-,3.31,31,36,15
Gordon Hayward,SF,11.73,-,3.22,30.5,34.5,10
Xavier Henry,SG,11.1,-,3.18,28.5,36.5,8
Darington Hobson,SG-SF,11.68,-,3.25,29,34,-
Damion James,SF,10.89,-,3.2,29,33,13
Wesley Johnson,SF,11.43,-,3.14,32,37,16
Armon Johnson,PG-SG,11.25,-,3.19,31.5,38.5,18
Dominique Jones,SG,10.88,-,3.31,26,32.5,19
Jerome Jordan,C,-,-,-,-,-,-
Sylven Landesberg,SG,11.59,-,3.36,28,32,8
Gani Lawal,PF,11.61,-,3.24,27,31.5,20
Greg Monroe,PF-C,12.1,-,3.35,25,29,15
Daniel Orton,C,12.32,-,3.39,24,30.5,13
Artsiom Parakhouski,C,12.07,-,3.33,25.5,26.5,16
Patrick Patterson,PF,11.14,-,3.25,28.5,33.5,17
Dexter Pittman,PF-C,-,-,-,-,-,-
Andy Rautins,SG,11.27,-,3.49,23.5,30.5,8
Ryan Richards,PF,11.33,-,3.37,25,28.5,4
Stanley Robinson,SF,11.65,-,3.23,-,37.5,6
Larry Sanders,PF-C,12.49,-,3.27,25.5,28,7
Jon Scheyer,PG-SG,-,-,-,-,-,-
Lance Stephenson,SG,11.39,-,3.38,27,33,10
Mikhail Torrance,PG,11.43,-,3.17,23,32,8
Evan Turner,SG,11.06,-,3.27,27.5,34.5,9
Ekpe Udoh,PF,11.15,-,3.29,31,33.5,10
Jarvis Varnado,PF-C,11.61,-,3.37,29.5,32.5,3
Greivis Vasquez,PG-SG,-,-,-,-,-,-
John Wall,PG,10.84,-,3.14,30,39,-
Willie Warren,SG-PG,11.21,-,3.5,23,31.5,10
Terrico White,SG-PG,11.38,-,3.15,31,40,10
Hassan Whiteside,C-PF,11.83,-,3.54,27,31.5,12
Jeff Adrien,PF,11.34,-,3.32,27.5,31.5,16
Jeff Ayres,PF,11.98,-,3.14,31,35,15
Rodrigue Beaubois,PG,10.49,-,3.15,29.5,39,3
DeJuan Blair,PF,11.5,-,3.45,26,33,18
Derrick Brown,SF-PF,11.26,-,3.13,30.5,35.5,20
Chase Budinger,SF-SG,11.08,-,3.24,29.5,38.5,10
DeMarre Carroll,PF-SF,-,-,-,-,-,-
Omri Casspi,SF,11.15,-,3.28,25.5,32.5,2
Dionte Christmas,SG,10.83,-,3.21,27,33.5,3
Earl Clark,SF-PF,11.17,-,3.35,28.5,33,5
Darren Collison,PG,10.45,-,3.1,30.5,33.5,9
Dante Cunningham,PF,11.18,-,3.26,28,35,18
Stephen Curry,PG-SG,11.07,-,3.28,29.5,35.5,10
Austin Daye,SF-PF,12.11,-,3.55,25,28,0
DeMar DeRozan,SG-SF,11.88,-,3.31,29,38.5,5
Toney Douglas,PG,10.63,-,3.03,28,32.5,15
Wayne Ellington,SG,11.14,-,3.2,31.5,38,13
Tyreke Evans,PG-SG,11.81,-,3.17,28.5,34,7
Jonny Flynn,PG,10.86,-,3.23,33,40,10
Taj Gibson,PF,11.56,-,3.41,25.5,30,12
Danny Green,SG-SF,11.3,-,3.3,29,33,15
Blake Griffin,PF,10.95,-,3.28,32,35.5,22
Tyler Hansbrough,PF,11.12,-,3.27,27.5,34,18
James Harden,SG,11.1,-,3.13,31.5,37,17
Gerald Henderson,SG-SF,11.17,-,3.14,31.5,35,8
Josh Heytvelt,PF-C,11.67,-,3.38,28.5,34,15
Jordan Hill,PF-C,12.23,-,3.3,31,35,11
Jrue Holiday,PG-SG,10.64,-,3.21,28.5,34,6
Joe Ingles,SF,10.66,-,3.3,26,31,3
James Johnson,SF-PF,11.21,-,3.23,30.5,35,18
Ty Lawson,PG,10.98,-,3.12,29,36.5,14
Eric Maynor,PG,10.78,-,3.19,28.5,31.5,8
Jack McClinton,SG-PG,10.44,-,3.21,30,36.5,13
Jerel McNeal,SG,10.61,-,3.25,31.5,36.5,10
Jodie Meeks,SG,10.96,-,3.1,28.5,37,14
Patty Mills,PG,10.87,-,3.1,27.5,33,8
Byron Mullens,C,11.1,-,3.45,28.5,32.5,10
A.J. Price,PG,10.99,-,3.22,26,31,11
Tyler Smith,SF,10.69,-,3.24,29,33.5,10
DaJuan Summers,SF,10.94,-,3.17,29.5,34.5,15
Jermaine Taylor,SG,11.54,-,3.32,34,37.5,16
Jeff Teague,PG,11.05,-,3.18,30.5,36.5,13
Hasheem Thabeet,C,-,-,-,-,-,-
Marcus Thornton,SG,10.73,-,3.28,31,33,14
Terrence Williams,SG-SF,11.15,-,3.18,30.5,37,9
Sam Young,SF-SG,11.47,-,3.45,27.5,33,-
Joe Alexander,SF-PF,11.33,-,2.99,32.5,38.5,24
Darrell Arthur,PF,12.18,-,3.14,28.5,30,12
D.J. Augustin,PG,11.27,-,3.07,28.5,35,2
Jerryd Bayless,PG-SG,11.26,-,3.07,31,38,10
Michael Beasley,PF-SF,11.06,-,3.24,30,35,19
Ramel Bradley,PG-SG,10.68,-,3.24,24.5,29.5,9
Tyrone Brazelton,PG,11.59,-,3.25,30,34,8
Takais Brown,PF,12.47,-,3.25,29,31,22
Keith Brumbaugh,SF-PF,11.65,-,3.28,26,27,2
Stanley Burrell,PG,11.19,-,3.19,29.5,34.5,21
Brian Butch,C-PF,11.87,-,3.52,24,26.5,9
Jamar Butler,PG,-,-,-,-,-,15
Pat Calathes,SF-PF,-,-,-,-,-,7
Joe Crawford,SG,11.67,-,3.22,31,36,13
Chris Daniels,C-PF,12.72,-,3.56,26,28.5,11
Joey Dorsey,PF-C,11.84,-,3.2,27.5,33,19
Marcus Dove,SF-PF,11.59,-,3.26,27.5,33.5,10
Josh Duncan,PF,12.47,-,3.26,28,32,26
Frank Elegar,PF,11.86,-,3.17,33.5,37.5,11
Patrick Ewing Jr.,SF-PF,11.77,-,3.43,35,42,2
Gary Forbes,SG,11.45,-,3.25,27.5,33.5,13
Shan Foster,SG,12.3,-,3.24,30,33,10
J.R. Giddens,SG,-,-,-,-,-,10
James Gist,PF,11.37,-,3.14,30.5,35,5
Vladimir Golubovic,C,12.4,-,3.33,21.5,27,15
Eric Gordon,SG,10.81,-,3.01,32,40,15
Kentrell Gransberry,C,12.16,-,3.32,24.5,27.5,18
Donte Greene,SF-PF,11.21,-,3.2,27.5,31.5,2
Malik Hairston,SG,11.33,-,3.08,30.5,38,13
DeVon Hardin,C-PF,11.49,-,3.33,29.5,32,20
Richard Hendrix,PF,10.62,-,3.27,26.5,28,13
George Hill,PG,12.2,-,3.07,34,37.5,9
Kyle Hines,SF-PF,12.17,-,3.4,28.5,33,16
Jiri Hubalek,C-PF,12.26,-,3.54,20.5,26,2
Lester Hudson,PG,11.15,-,3.16,30.5,36,12
Othello Hunter,PF-SF,11.51,-,3.18,28,34.5,7
Darnell Jackson,PF,11.75,-,3.26,27,31,11
Shawn James,PF,-,-,-,-,-,6
Davon Jefferson,SF,12.02,-,3.36,27,32,2
Joseph Jones,PF,11.61,-,3.33,25.5,31,16
DeAndre Jordan,C,12.3,-,3.27,26,30.5,8
Sasha Kaun,C-PF,12.06,-,3.2,29,32,13
Marcelus Kemp,SG,11.79,-,3.39,26,30,9
Maarty Leunen,SF,11.57,-,3.36,29.5,34.5,14
Longar Longar,C,-,-,-,-,-,14
Brook Lopez,C,12.77,-,3.57,27.5,30.5,7
Kevin Love,PF,11.17,-,3.22,29.5,35,18
Aleks Maric,C,11.76,-,3.35,23,28,15
O.J. Mayo,SG-PG,11.04,-,3.14,30.5,41,7
James Mays,PF,11.23,-,3.19,29.5,35,13
Luc Mbah a Moute,SF,11.71,-,3.17,32,38.5,11
JaVale McGee,C-PF,12.75,-,3.25,27,32.5,7
Drew Neitzel,PG,11.19,-,3.2,25.5,32,10
DeMarcus Nelson,PG-SG,10.54,-,3.13,34.5,38.5,19
David Padgett,C-PF,12.45,-,3.45,24,28,17
Jeremy Pargo,PG,10.65,-,3.07,32,37,7
Trent Plaisted,PF,11.32,-,3.17,30.5,35.5,14
Quan Prowell,SF-PF,11.79,-,3.14,32,36,16
Shaun Pruitt,C-PF,11.3,-,3.4,27,32.5,10
Anthony Randolph,PF-SF,11.86,-,3.26,29,35,7
Charles Rhodes,PF,11.51,-,3.13,26.5,33.5,14
John Riek,C,-,-,-,-,-,-
Brian Roberts,PG,10.65,-,3.05,31.5,36.5,10
Russell Robinson,PG,11.3,-,3.15,25,31.5,8
Richard Roby,SG-SF,-,-,-,-,-,-
Derrick Rose,PG,11.69,-,3.05,34.5,40,10
Sean Singletary,PG,-,-,-,26,-,18
Ronald Steele,PG,11.08,-,3.26,25,29.5,5
Mike Taylor,SG-PG,10.98,-,3.08,31,39,2
Bryce Taylor,SG,11.08,-,3.19,34.5,41,16
Mark Tyndale,SG-SF,12.52,-,3.14,27,33.5,5
Robert Vaden,SG,11.97,-,3.4,26,29.5,10
Deron Washington,SF,11.03,-,3.09,34,40,7
Sonny Weems,SG-SF,10.58,-,2.96,29,36.5,12
Russell Westbrook,PG,10.98,-,3.08,30,36.5,12
Reggie Williams,SG,11.32,-,3.07,31.5,36.5,15
Mohamed Abukar,SF,11.78,-,3.37,30.5,35,15
Mario Boggan,PF,12.18,-,3.45,24,26.5,12
Craig Bradshaw,PF,11.88,-,3.54,26,28,12
Corey Brewer,SF-SG,11.69,-,3.22,30.5,36.5,11
Aaron Brooks,PG,10.57,-,3.2,32.5,39.5,6
Bobby Brown,PG,11.27,-,3.25,32.5,41,3
Russell Carter,SG,11.61,-,3.29,33,38.5,25
Coleman Collins,PF,11.47,-,-,30,35,21
Mike Conley,PG,11.63,-,3.09,35.5,40.5,13
Daequan Cook,SG,11.12,-,3.22,30,34.5,4
Ryvon Covile,C-PF,12.52,-,3.37,25,30.5,19
Javaris Crittenton,PG,11.6,-,3.32,32.5,38,11
Jermareo Davidson,PF,12.63,-,3.53,27,30,7
Justin Doellman,PF,-,-,-,-,-,19
Zabian Dowdell,PG,11.13,-,3.29,30,33.5,3
Jared Dudley,SF,11.32,-,3.45,28,32,14
Kevin Durant,SF-PF,12.33,-,3.45,26,33.5,0
Rashaun Freeman,PF,11.43,-,3.41,28,32,20
Aaron Gray,C,12.07,-,3.7,27,32.5,17
Caleb Green,PF,11.72,-,3.46,28.5,36,9
Jeff Green,SF,12,-,3.34,33.5,38,17
Taurean Green,PG,11.3,-,3.26,29,32.5,8
Spencer Hawes,PF,11.88,-,3.51,26,29,9
Brandon Heath,PG,11.39,-,3.28,32,36,11
Herbert Hill,C,12.31,-,3.39,30.5,34,15
Al Horford,PF,12.15,-,3.37,31,35.5,20
Quinton Hosley,SF-SG,12.47,-,3.32,28.5,34,12
James Hughes,C,13.31,-,3.37,31,33,8
Jeremy Hunt,SG,12.11,-,3.29,30.5,33,10
Ekene Ibekwe,PF,11,-,3.28,34.5,39,10
Dominic James,PG,10.94,-,3.11,33.5,38.5,14
Trey Johnson,SG,11.78,-,3.31,26.5,35,18
Rashad Jones-Jennings,PF,12.18,-,3.29,25,30,20
Jared Jordan,PG,11.02,-,3.39,24.5,28.5,6
Coby Karl,SG-PG,11.57,-,3.41,32,34.5,9
Antanas Kavaliauskas,PF,11.19,-,3.42,25.5,30,19
Carl Landry,PF,11.35,-,3.29,31.5,36.5,21
Stephane Lasme,PF,11.73,-,3.22,29.5,36,17
Acie Law,PG,11,-,3.22,29,34,8
Marko Lekic,C,11.96,-,3.43,24,30.5,19
Ron Lewis,SG,11.59,-,3.22,33,38,16
Cartier Martin,SF,12.1,-,3.43,27,29.5,11
Dominic McGuire,SF,10.95,-,3.25,28.5,34.5,12
Josh McRoberts,PF,11.7,-,3.47,27.5,31.5,12
Sammy Mejia,SG,11.87,-,3.49,27,31.5,7
Brad Newley,SG,11.77,-,3.29,29.5,31.5,3
Demetris Nichols,SF,10.39,-,3.38,28.5,32.5,16
Joakim Noah,PF,11.79,-,3.47,32.5,37.5,12
Greg Oden,C,11.67,-,3.27,32,34,-
Ivan Radenovic,PF,11.61,-,3.6,23,28,7
JR Reynolds,PG,11.69,-,3.24,27.5,34.5,15
Chris Richard,PF,11.39,-,3.29,26.5,30.5,15
Dustin Salisbery,SG,11.07,-,3.12,34,38,11
Blake Schilb,SG,11.63,-,3.36,26.5,33.5,11
Renaldas Seibutis,SG,11.33,-,3.39,24,32.5,1
Ramon Sessions,PG,11.65,-,3.27,29.5,33.5,8
Mustafa Shakur,PG,11.82,-,3.27,28.5,35,11
